,Name,Label,Price,Kms_driven,Fuel_type,Owner,Year,Company
126,Hyundai Creta,PLATINUM,1042699,66400,Petrol,2nd Owner,2017,Hyundai
127,Maruti Suzuki S,PLATINUM,1032099,59341,Diesel,2nd Owner,2017,Maruti
128,Hyundai Creta,PLATINUM,903499,56246,Petrol,2nd Owner,2016,Hyundai
129,Honda Amaze,PLATINUM,472499,35944,Petrol,2nd Owner,2014,Honda
130,Honda WR V,PLATINUM,771299,17699,Petrol,2nd Owner,2018,Honda
131,Maruti Suzuki Wagon,PLATINUM,447099,41065,Petrol,2nd Owner,2017,Maruti
132,Renault Kwid,PLATINUM,504599,2311,Petrol,2nd Owner,2019,Renault
133,Hyundai Grand i10,PLATINUM,620999,2991,Petrol,2nd Owner,2018,Hyundai
134,Hyundai Grand i10,PLATINUM,433999,29762,Petrol,2nd Owner,2015,Hyundai
135,Skoda Rapid,PLATINUM,627499,91917,Diesel,2nd Owner,2016,Skoda
136,Maruti Suzuki Swift,GOLD,360000,0,Diesel,2nd Owner,2014,Maruti
137,Toyota Fortuner 3.0,GOLD,1375000,131000,Diesel,2nd Owner,2012,Toyota
138,Maruti Suzuki 800,GOLD,69000,85000,Petrol,2nd Owner,2000,Maruti
139,Tata Nano,GOLD,89000,37000,Petrol,2nd Owner,2011,Tata
140,Tata Indica,GOLD,89000,67000,Diesel,2nd Owner,2011,Tata
141,Audi Q7 3.0,GOLD,2200000,120000,Diesel,2nd Owner,2013,Audi
142,Jaguar XJ L,GOLD,4425000,71000,Diesel,2nd Owner,2016,Jaguar
143,Mercedes Benz GL,GOLD,4450000,105000,Diesel,2nd Owner,2016,Mercedes
144,Renault Kwid,PLATINUM,504599,2311,Petrol,2nd Owner,2019,Renault
145,Maruti Suzuki Dzire,PLATINUM,704199,30771,Petrol,2nd Owner,2018,Maruti
146,Hyundai Santro Sportz,PLATINUM,513099,29488,Petrol,2nd Owner,2018,Hyundai
147,Renault Kwid,PLATINUM,469399,36559,Petrol,2nd Owner,2019,Renault
148,Honda WR V,PLATINUM,844199,38242,Diesel,2nd Owner,2018,Honda
149,Maruti Suzuki Ignis,PLATINUM,544799,66426,Petrol,1st Owner,2017,Maruti
150,Volkswagen Polo,PLATINUM,710899,16950,Petrol,2nd Owner,2018,Volkswagen
151,Maruti Suzuki Baleno,PLATINUM,580599,18866,Petrol,2nd Owner,2016,Maruti
152,Maruti Suzuki Swift,PLATINUM,638499,53245,Diesel,1st Owner,2017,Maruti
153,Hyundai Verna,PLATINUM,654699,44543,Petrol,1st Owner,2016,Hyundai
154,Maruti Suzuki S,PLATINUM,894199,50128,Diesel,1st Owner,2018,Maruti
155,Maruti Suzuki S,PLATINUM,858599,56349,Diesel,2nd Owner,2018,Maruti
156,Maruti Suzuki S,PLATINUM,992199,69524,Diesel,2nd Owner,2017,Maruti
